Adjustment_Set,Coefficient_Set,Variance,MSE
"B1,G1,G2",12,0.0005210560196098628,0.0005219612636660618
"B1,G1,G2",13,0.000904769991973671,0.000906125863793212
"B1,G1,G2",14,0.0009018577910407494,0.0009067019662229133
"B1,G1,G2",15,0.0003718501146215163,0.00037185312160835225
"B1,G1,G2",16,0.00035688876400788916,0.00037306550964306826
"B1,G1,G2",17,0.00047565068563916907,0.00047565413110695027
"B1,G1,G2",18,0.0015942031898235698,0.0016095377859219346
"B1,G1,G2",19,0.01825806215926387,0.018602914257424663
"B1,G1,G2",20,0.0026218772602746667,0.0026248285941798924
"B1,G1,G2",21,0.0009452329204794058,0.0009452475925433596
"B1,G1,G2",22,0.025576140242997585,0.025593294335690454
"B1,G1,G2",23,0.0021616503494121604,0.0022796467525599065
"B1,G1,G2",24,0.02966336658526991,0.029704298273567912
"B1,G1,G2",25,0.001102807764676418,0.0011028103809573398
"B1,G1,G2",26,0.0003526255374530185,0.0003554116870429761
"B1,G1,G2",27,0.0012124708202566259,0.00121275283437962
"B1,G1,G2",28,0.017464800109839498,0.017559529989217938
"B1,G1,G2",29,0.0005883243859247702,0.0005915262264020978
"B1,G1,G2",30,0.005627377751751304,0.005628705489305422
"B1,G1,G2",31,0.0019396091396053502,0.001953267047889084
"B1,G1,G2",32,0.008945048034919256,0.008945139570506437
"B1,G1,G2",33,0.0010993993479024241,0.0011004214792562222
"B1,G1,G2",34,0.00048503111698323264,0.00048627550487088494
"B1,G1,G2",35,0.0030783982747333194,0.003081066006809688
"B1,G1,G2",36,0.0021542759810839604,0.0021565887803757645
"B1,G1,G2",37,0.0009001119689702761,0.0009017903839537962
"B1,G1,G2",38,0.0006308563483856538,0.0006381767906553255
"B1,G1,G2",39,0.0012773679102986825,0.0013541566833148535
"B1,G1,G2",40,0.00039922279366449943,0.00040028692500614733
"B1,G1,G2",41,0.0017901790224929002,0.0017994217995624658
"B1,G1,G2",42,0.0006274023560175204,0.0006276078063752191
"B1,G1,G2",43,0.0009276237411303999,0.0009302413867058212
"B1,G1,G2",44,0.0007175321961169078,0.0007200961352397458
"B1,G1,G2",45,0.001483520015222862,0.0014924127061914686
"B1,G1,G2",46,0.002689779623998957,0.0027032155557096876
"B1,G1,G2",47,0.0021179626621331705,0.0021181547603775636
"B1,G1,G2",48,0.0037526502394614842,0.0038335722721998602
"B1,G1,G2",49,0.001256750799223106,0.001258580332527653
